ts,P2O5,SO4,density,Cl
07/04/2024 19:04,16.36,4.15,1.297,28302
07/04/2024 18:54,16.36,4.15,1.299,28302
07/04/2024 18:44,16.36,4.15,1.298,28302
07/04/2024 18:34,16.36,4.15,1.234,28302
07/04/2024 18:24,16.36,4.15,1.295,28302
07/04/2024 18:14,16.36,4.15,1.011,28302
07/04/2024 18:04,16.4,4.15,1.115,28302
07/04/2024 17:54,16.4,4.15,1.291,28302
07/04/2024 17:44,16.4,4.15,1.053,28302
07/04/2024 17:34,16.4,4.15,1.299,28302
07/04/2024 17:24,16.4,4.15,1.299,28302
07/04/2024 17:14,16.4,4.15,1.295,28302
07/04/2024 17:04,16.4,4.15,1.295,28302
07/04/2024 16:54,16.4,4.15,1.295,28302
07/04/2024 16:44,16.4,4.15,1.296,28302
07/04/2024 16:34,16.4,4.15,1.296,28302
07/04/2024 16:24,16.4,4.15,1.294,28302
07/04/2024 16:14,16.7,4.05,1.294,27601
07/04/2024 16:04,16.7,4.05,1.294,27601
07/04/2024 15:54,16.7,4.05,1.262,27601
07/04/2024 15:44,16.7,4.05,1.293,27601
07/04/2024 15:34,16.7,4.05,1.295,27601
07/04/2024 15:24,16.7,4.05,1.183,27601
07/04/2024 15:14,16.7,4.05,1.065,27601
07/04/2024 15:04,16.7,4.05,1.293,27601
07/04/2024 14:54,16.7,4.05,1.119,27601
07/04/2024 14:44,16.7,4.05,1.296,27601
07/04/2024 14:34,16.7,4.05,1.022,27601
07/04/2024 14:24,16.7,4.05,1.295,27601
07/04/2024 14:14,16.7,4.05,1.292,27601
07/04/2024 14:04,16.7,4.05,1.292,27601
07/04/2024 13:54,16.6,4.05,1.292,27601
07/04/2024 13:44,16.6,4.05,1.291,27601
07/04/2024 13:34,16.6,4.05,1.293,27601
07/04/2024 13:24,16.6,4.05,1.29,27601
07/04/2024 13:14,16.6,4.05,1.29,27601
07/04/2024 13:04,16.6,4.05,1.289,27601
07/04/2024 12:54,16.6,4.05,1.288,27601
07/04/2024 12:44,16.6,4.05,1.288,27601
07/04/2024 12:34,16.6,4.05,1.287,27601
07/04/2024 12:24,16.6,4.05,1.287,27601
07/04/2024 12:14,16.6,4.05,1.282,27601
07/04/2024 12:04,16.6,4.05,1.218,27601
07/04/2024 11:54,15.88,4.1,1.279,27601
07/04/2024 11:44,15.88,4.1,1.285,27601
07/04/2024 11:34,15.88,4.1,1.288,27601
07/04/2024 11:24,15.88,4.1,1.208,27601
07/04/2024 11:14,15.88,4.1,1.067,27601
07/04/2024 11:04,15.88,4.1,1.29,27601
07/04/2024 10:54,15.88,4.1,1.257,27601
07/04/2024 10:44,15.88,4.1,1.288,27601
07/04/2024 10:34,15.88,4.1,1.286,27601
07/04/2024 10:24,15.88,4.1,1.211,27601
07/04/2024 10:14,15.88,4.1,1.282,27601
07/04/2024 10:04,15.88,4.1,1.277,27601
07/04/2024 09:54,15.88,4.1,1.273,27601
07/04/2024 09:44,15.88,4.1,1.271,27601
07/04/2024 09:34,15.88,4.1,1.27,27601
07/04/2024 09:24,15.88,4.1,1.297,27601
07/04/2024 09:14,16.47,4.1,1.238,29457
07/04/2024 09:04,16.47,4.1,1.046,29457
07/04/2024 08:54,16.47,4.1,1.277,29457
07/04/2024 08:44,16.47,4.1,1.273,29457
07/04/2024 08:34,16.47,4.1,1.272,29457
07/04/2024 08:24,16.47,4.1,1.271,29457
07/04/2024 08:14,16.47,4.1,1.27,29457
07/04/2024 08:04,16.47,4.1,1.268,29457
07/04/2024 07:54,16.47,4.1,1.266,29457
07/04/2024 07:44,16.47,4.1,1.265,29457
07/04/2024 07:34,16.47,4.1,1.263,29457
07/04/2024 07:24,16.47,4.1,1.265,29457
07/04/2024 07:14,16.47,4.1,1.267,29457
07/04/2024 07:04,16.47,4.1,1.268,29457
07/04/2024 06:54,16.47,4.1,1.27,29457
07/04/2024 06:44,16.47,4.1,1.272,29457
07/04/2024 06:34,16.47,4.1,1.274,29457
07/04/2024 06:24,16.47,4.1,1.275,29457
07/04/2024 06:14,16.6,4.1,1.273,29457
07/04/2024 06:04,16.6,4.1,1.269,29457
07/04/2024 05:54,16.6,4.1,1.266,29457
07/04/2024 05:44,16.6,4.1,1.276,29457
07/04/2024 05:34,16.6,4.1,1.279,29457
07/04/2024 05:24,16.6,4.1,1.277,29457
07/04/2024 05:14,16.6,4.1,1.276,29457
07/04/2024 05:04,16.6,4.1,1.277,29457
07/04/2024 04:54,16.6,4.1,1.279,29457
07/04/2024 04:44,16.6,4.1,1.28,29457
07/04/2024 04:34,16.6,4.1,1.283,29457
07/04/2024 04:24,16.6,4.1,1.285,29457
07/04/2024 04:14,16.6,4.1,1.287,29457
07/04/2024 04:04,16.53,4.1,1.288,31425
07/04/2024 03:54,16.53,4.1,1.288,31425
07/04/2024 03:44,16.53,4.1,1.289,31425
07/04/2024 03:34,16.53,4.1,1.289,31425
07/04/2024 03:24,16.53,4.1,1.289,31425
07/04/2024 03:14,16.53,4.1,1.29,31425
07/04/2024 03:04,16.53,4.1,1.29,31425
07/04/2024 02:54,16.53,4.1,1.291,31425
07/04/2024 02:44,16.53,4.1,1.291,31425
07/04/2024 02:34,16.53,4.1,1.291,31425
07/04/2024 02:24,16.8,4.1,1.292,31425
07/04/2024 02:14,16.8,4.1,1.292,31425
07/04/2024 02:04,16.8,4.1,1.291,31425
07/04/2024 01:54,16.8,4.1,1.291,31425
07/04/2024 01:44,16.8,4.1,1.29,31425
07/04/2024 01:34,16.8,4.1,1.29,31425
07/04/2024 01:24,16.8,4.1,1.289,31425
07/04/2024 01:14,16.8,4.1,1.289,31425
07/04/2024 01:04,16.8,4.1,1.288,31425
07/04/2024 00:54,16.8,4.1,1.287,31425
07/04/2024 00:44,16.8,4.1,1.285,31425
07/04/2024 00:34,16.8,4.1,1.283,31425
07/04/2024 00:24,16.8,4.1,1.281,31425
07/04/2024 00:14,16.8,4.1,1.277,31425
07/04/2024 00:04,16.8,4.1,1.269,31425
06/04/2024 23:54,16.8,4.1,1.26,31425
06/04/2024 23:44,16.8,4.1,1.25,31425
06/04/2024 23:34,16.8,4.1,1.235,31425
06/04/2024 23:24,16.8,4.1,1.221,31425
06/04/2024 23:14,16.8,4.1,1.16,31425
06/04/2024 23:04,16.8,4.1,1.012,31425
06/04/2024 22:54,16.8,4.1,1.075,31425
06/04/2024 22:44,16.8,4.1,1.031,31425
06/04/2024 22:34,16.8,4.1,1,31425
06/04/2024 22:24,16.8,4.1,1.032,31425
06/04/2024 22:14,16.8,4.1,1.08,31425
06/04/2024 22:04,16.8,4.1,1.084,31425
06/04/2024 21:54,16.8,4.1,1.077,31425
06/04/2024 21:44,16.8,4.1,1.113,31425
06/04/2024 21:34,16.8,4.1,1.113,31425
06/04/2024 21:24,16.8,4.1,1.076,31425
06/04/2024 21:14,16.8,4.1,1.113,31425
06/04/2024 21:04,16.8,4.1,1.059,31425
06/04/2024 20:54,16.8,4.1,1.129,31425
06/04/2024 20:44,16.8,4.1,1.07,31425
06/04/2024 20:34,16.8,4.1,1.185,31425
06/04/2024 20:24,16.8,4.1,1.098,31425
06/04/2024 20:14,16.8,4.1,1.128,31425
06/04/2024 20:04,16.8,4.1,1.142,31425
06/04/2024 19:54,16.8,4.1,1.127,31425
06/04/2024 19:44,16.8,4.1,1.156,31425
06/04/2024 19:34,16.8,4.1,1.117,31425
06/04/2024 19:24,16.8,4.1,1.178,31425
06/04/2024 19:14,16.8,4.1,1.102,31425
06/04/2024 19:04,16.8,4.1,1.152,31425
06/04/2024 18:54,16.8,4.1,1.125,31425
06/04/2024 18:44,16.8,4.1,1.149,31425
06/04/2024 18:34,16.8,4.1,1.148,31425
06/04/2024 18:24,16.8,4.1,1.276,31425
06/04/2024 18:14,16.8,4.1,1.219,31425
06/04/2024 18:04,16.8,4.1,1.291,31425
06/04/2024 17:54,16.8,4.1,1.292,31425
06/04/2024 17:44,16.8,4.1,1.293,31425
06/04/2024 17:34,16.8,4.1,1.297,31425
06/04/2024 17:24,16.8,4.1,1.297,31425
06/04/2024 17:14,16.8,4.1,1.296,31425
06/04/2024 17:04,16.8,4.1,1.296,31425
06/04/2024 16:54,16.8,4.1,1.296,31425
06/04/2024 16:44,16.8,4.15,1.295,31425
06/04/2024 16:34,16.8,4.15,1.295,31425
06/04/2024 16:24,16.8,4.15,1.294,31425
06/04/2024 16:14,16.4,4.15,1.294,31428
06/04/2024 16:04,16.4,4.15,1.294,31428
06/04/2024 15:54,16.4,4.15,1.296,31428
06/04/2024 15:44,16.4,4.15,1.298,31428
06/04/2024 15:34,16.4,4.15,1.298,31428
06/04/2024 15:24,16.4,4.15,1.299,31428
06/04/2024 15:14,16.4,4.15,1.299,31428
06/04/2024 15:04,16.4,4.15,1.299,31428
06/04/2024 14:54,16.4,4.15,1.3,31428
06/04/2024 14:44,16.4,4.15,1.3,31428
06/04/2024 14:34,16.4,4.15,1.301,31428
06/04/2024 14:24,16.4,4.15,1.301,31428
06/04/2024 14:14,16.4,4.15,1.302,31428
06/04/2024 14:04,16.4,4.15,1.302,31428
06/04/2024 13:54,16.4,4.15,1.302,31428
06/04/2024 13:44,16.5,4.15,1.301,31428
06/04/2024 13:34,16.5,4.15,1.301,31428
06/04/2024 13:24,16.5,4.15,1.207,31428
06/04/2024 13:14,16.5,4.15,1.302,31428
06/04/2024 13:04,16.5,4.15,1.302,31428
06/04/2024 12:54,16.5,4.15,1.301,31428
06/04/2024 12:44,16.5,4.15,1.301,31428
06/04/2024 12:34,16.5,4.15,1.301,31428
06/04/2024 12:24,16.5,4.15,1.3,31428
06/04/2024 12:14,16.5,4.05,1.302,31428
06/04/2024 12:04,16.7,4.05,1.301,31352
06/04/2024 11:54,16.7,4.05,1.301,31352
06/04/2024 11:44,16.7,4.05,1.301,31352
06/04/2024 11:34,16.7,4.05,1.301,31352
06/04/2024 11:24,16.7,4.05,1.301,31352
06/04/2024 11:14,16.7,4.05,1.3,31352
06/04/2024 11:04,16.7,4.05,1.3,31352
06/04/2024 10:54,16.7,4.05,1.3,31352
06/04/2024 10:44,16.7,4.05,1.299,31352
06/04/2024 10:34,16.7,4.05,1.298,31352
06/04/2024 10:24,16.7,4.05,1.298,31352
06/04/2024 10:14,16.7,4.05,1.298,31352
06/04/2024 10:04,16.7,4.05,1.298,31352
06/04/2024 09:54,16.65,4.05,1.298,31352
06/04/2024 09:44,16.65,4.05,1.298,31352
06/04/2024 09:34,16.65,4.05,1.298,31352
06/04/2024 09:24,16.65,4.05,1.298,31352
06/04/2024 09:14,16.65,4.05,1.298,31352
06/04/2024 09:04,16.65,4.05,1.298,31352
06/04/2024 08:54,16.65,4.05,1.298,31352
06/04/2024 08:44,16.65,4.05,1.298,31352
06/04/2024 08:34,16.65,4.05,1.298,31352
06/04/2024 08:24,16.65,4.05,1.298,31352
06/04/2024 08:14,16.65,4.05,1.298,31352
06/04/2024 08:04,16.65,4.05,1.298,31352
06/04/2024 07:54,16.65,4.45,1.298,31352
06/04/2024 07:44,16.65,4.45,1.299,31352
06/04/2024 07:34,16.8,4.45,1.299,30188
06/04/2024 07:24,16.8,4.45,1.299,30188
06/04/2024 07:14,16.8,4.45,1.3,30188
06/04/2024 07:04,16.8,4.45,1.3,30188
06/04/2024 06:54,16.8,4.45,1.3,30188
06/04/2024 06:44,16.8,4.45,1.301,30188
06/04/2024 06:34,16.8,4.45,1.301,30188
06/04/2024 06:24,16.8,4.45,1.301,30188
06/04/2024 06:14,16.8,4.45,1.301,30188
06/04/2024 06:04,16.8,4.45,1.301,30188
06/04/2024 05:54,16.7,4.45,1.301,30188
06/04/2024 05:44,16.7,4.45,1.301,30188
06/04/2024 05:34,16.7,4.45,1.302,30188
06/04/2024 05:24,16.7,4.45,1.302,30188
06/04/2024 05:14,16.7,4.45,1.302,30188
06/04/2024 05:04,16.7,4.45,1.302,30188
06/04/2024 04:54,16.7,4.45,1.302,30188
06/04/2024 04:44,16.7,4.45,1.302,30188
06/04/2024 04:34,16.7,4.45,1.302,30188
06/04/2024 04:24,16.7,4.45,1.302,30188
06/04/2024 04:14,16.7,4.45,1.215,30188
06/04/2024 04:04,16.8,4.45,1.302,30142
06/04/2024 03:54,16.8,4.45,1.303,30142
06/04/2024 03:44,16.8,4.45,1.303,30142
06/04/2024 03:34,16.8,4.45,1.294,30142
06/04/2024 03:24,16.8,4.45,1.303,30142
06/04/2024 03:14,16.8,4.45,1.304,30142
06/04/2024 03:04,16.8,4.45,1.113,30142
06/04/2024 02:54,16.8,4.45,1.302,30142
06/04/2024 02:44,16.8,4.45,1.302,30142
06/04/2024 02:34,16.8,4.45,1.301,30142
06/04/2024 02:24,16.8,4.45,1.301,30142
06/04/2024 02:14,16.72,4.45,1.301,30142
06/04/2024 02:04,16.72,4.45,1.152,30142
06/04/2024 01:54,16.72,4.45,1.303,30142
06/04/2024 01:44,16.72,4.45,1.303,30142
06/04/2024 01:34,16.72,4.45,1.304,30142
06/04/2024 01:24,16.72,4.45,1.303,30142
06/04/2024 01:14,16.72,4.45,1.303,30142
06/04/2024 01:04,16.72,4.45,1.303,30142
06/04/2024 00:54,16.72,4.45,1.304,30142
06/04/2024 00:44,16.72,4.45,1.304,30142
06/04/2024 00:34,16.7,4.45,1.302,30142
06/04/2024 00:24,16.7,4.45,1.303,30142
06/04/2024 00:14,16.7,4.35,1.303,30142
06/04/2024 00:04,16.7,4.35,1.303,30413
05/04/2024 23:54,16.7,4.35,1.302,30413
05/04/2024 23:44,16.7,4.35,1.302,30413
05/04/2024 23:34,16.7,4.35,1.303,30413
05/04/2024 23:24,16.7,4.35,1.304,30413
05/04/2024 23:14,16.7,4.35,1.304,30413
05/04/2024 23:04,16.7,4.35,1.304,30413
05/04/2024 22:54,16.7,4.35,1.304,30413
05/04/2024 22:44,16.7,4.35,1.305,30413
05/04/2024 22:34,16.7,4.35,1.306,30413
05/04/2024 22:24,16.7,4.35,1.306,30413
05/04/2024 22:14,16.7,4.35,1.078,30413
05/04/2024 22:04,16.7,4.35,1.306,30413
05/04/2024 21:54,16.68,4.35,1.306,30413
05/04/2024 21:44,16.68,4.35,1.306,30413
05/04/2024 21:34,16.68,4.35,1.306,30413
05/04/2024 21:24,16.68,4.35,1.306,30413
05/04/2024 21:14,16.68,4.35,1.306,30413
05/04/2024 21:04,16.68,4.55,1.306,30413
05/04/2024 20:54,16.68,4.55,1.306,30413
05/04/2024 20:44,16.68,4.55,1.306,30413
05/04/2024 20:34,16.68,4.55,1.306,30413
05/04/2024 20:24,16.68,4.55,1.305,30413
05/04/2024 20:14,16.68,4.55,1.305,30413
05/04/2024 20:04,16.68,4.55,1.305,29675
05/04/2024 19:54,17.1,4.55,1.305,29675
05/04/2024 19:44,17.1,4.55,1.305,29675
05/04/2024 19:34,17.1,4.55,1.304,29675
05/04/2024 19:24,17.1,4.55,1.304,29675
05/04/2024 19:14,17.1,4.55,1.304,29675
05/04/2024 19:04,17.1,4.55,1.304,29675
05/04/2024 18:54,17.1,4.55,1.304,29675
05/04/2024 18:44,17.1,4.55,1.304,29675
05/04/2024 18:34,17.1,4.55,1.304,29675
05/04/2024 18:24,17.1,4.55,1.303,29675
05/04/2024 18:14,17.1,4.55,1.303,29675
05/04/2024 18:04,17.1,4.55,1.303,29675
05/04/2024 17:54,17.1,4.55,1.303,29675
05/04/2024 17:44,17.1,4.55,1.303,29675
05/04/2024 17:34,17.26,4.55,1.303,29675
05/04/2024 17:24,17.26,4.55,1.302,29675
05/04/2024 17:14,17.26,4.55,1.302,29675
05/04/2024 17:04,17.26,4.55,1.302,29675
05/04/2024 16:54,17.26,4.55,1.302,29675
05/04/2024 16:44,16.72,4.45,1.302,28538
05/04/2024 16:34,16.72,4.45,1.303,28538
05/04/2024 16:24,16.72,4.45,1.303,28538
05/04/2024 16:14,16.72,4.45,1.303,28538
05/04/2024 16:04,16.72,4.45,1.303,28538
05/04/2024 15:54,16.72,4.45,1.3,28538
05/04/2024 15:44,16.72,4.45,1.3,28538
05/04/2024 15:34,16.72,4.45,1.3,28538
05/04/2024 15:24,16.72,4.45,1.3,28538
05/04/2024 15:14,16.72,4.45,1.3,28538
05/04/2024 15:04,16.72,4.45,1.3,28538
05/04/2024 14:54,16.72,4.45,1.3,28538
05/04/2024 14:44,16.72,4.45,1.299,28538
05/04/2024 14:34,16.72,4.45,1.299,28538
05/04/2024 14:24,16.72,4.45,1.299,28538
05/04/2024 14:14,16.72,4.45,1.299,28538
05/04/2024 14:04,16.72,4.45,1.299,28538
05/04/2024 13:54,16.72,4.45,1.299,28538
05/04/2024 13:44,16.72,4.45,1.299,28538
05/04/2024 13:34,16.72,4.45,1.298,28538
05/04/2024 13:24,16.75,4.45,1.298,28538
05/04/2024 13:14,16.75,4.45,1.298,28538
05/04/2024 13:04,16.75,4.45,1.298,28538
05/04/2024 12:54,16.75,4.45,1.298,28538
05/04/2024 12:44,16.75,4.45,1.298,28538
05/04/2024 12:34,16.75,4.45,1.298,28538
05/04/2024 12:24,16.75,4.45,1.298,28538
05/04/2024 12:14,16.76,4.45,1.297,27831
05/04/2024 12:04,16.76,4.45,1.297,27831
05/04/2024 11:54,16.76,4.45,1.297,27831
05/04/2024 11:44,16.76,4.45,1.297,27831
05/04/2024 11:34,16.76,4.45,1.297,27831
05/04/2024 11:24,16.76,4.45,1.153,27831
05/04/2024 11:14,16.76,4.45,1.297,27831
05/04/2024 11:04,16.76,4.45,1.297,27831
05/04/2024 10:54,16.76,4.45,1.296,27831
05/04/2024 10:44,16.76,4.45,1.296,27831
05/04/2024 10:34,16.76,4.45,1.296,27831
05/04/2024 10:24,16.76,4.45,1.289,27831
05/04/2024 10:14,16.76,4.45,1.295,27831
05/04/2024 10:04,16.76,4.45,1.296,27831
05/04/2024 09:54,16.76,4.45,1.296,27831
05/04/2024 09:44,16.81,4.45,1.296,27831
05/04/2024 09:34,16.81,4.45,1.297,27831
05/04/2024 09:24,16.81,4.45,1.297,27831
05/04/2024 09:14,16.81,4.45,1.297,27831
05/04/2024 09:04,16.81,4.45,1.298,27831
05/04/2024 08:54,16.81,4.45,1.298,27831
05/04/2024 08:44,16.81,4.45,1.298,27831
05/04/2024 08:34,16.81,4.45,1.298,27831
05/04/2024 08:24,16.81,4.45,1.298,27831
05/04/2024 08:14,16.81,4.45,1.298,27831
05/04/2024 08:04,16.81,4.45,1.298,27831
05/04/2024 07:54,16.81,4.45,1.297,27831
05/04/2024 07:44,16.81,4.45,1.297,27831
05/04/2024 07:34,16.85,4.25,1.297,29805
05/04/2024 07:24,16.85,4.25,1.297,29805
05/04/2024 07:14,16.85,4.25,1.071,29805
05/04/2024 07:04,16.85,4.25,1.295,29805
05/04/2024 06:54,16.85,4.25,1.295,29805
05/04/2024 06:44,16.85,4.25,1.295,29805
05/04/2024 06:34,16.85,4.25,1.295,29805
05/04/2024 06:24,16.85,4.25,1.295,29805
05/04/2024 06:14,16.85,4.25,1.295,29805
05/04/2024 06:04,16.6,4.25,1.295,29805
05/04/2024 05:54,16.6,4.25,1.295,29805
05/04/2024 05:44,16.6,4.25,1.295,29805
05/04/2024 05:34,16.6,4.25,1.294,29805
05/04/2024 05:24,16.6,4.25,1.293,29805
05/04/2024 05:14,16.6,4.25,1.292,29805
05/04/2024 05:04,16.6,4.25,1.29,29805
05/04/2024 04:54,16.6,4.25,1.289,29805
05/04/2024 04:44,16.6,4.25,1.29,29805
05/04/2024 04:34,16.6,4.25,1.291,29805
05/04/2024 04:24,16.6,4.25,1.292,29805
05/04/2024 04:14,16.6,4.25,1.292,29805
05/04/2024 04:04,16.35,4.15,1.293,29667
05/04/2024 03:54,16.35,4.15,1.293,29667
05/04/2024 03:44,16.35,4.15,1.294,29667
05/04/2024 03:34,16.35,4.15,1.295,29667
05/04/2024 03:24,16.35,4.15,1.295,29667
05/04/2024 03:14,16.35,4.15,1.296,29667
05/04/2024 03:04,16.35,4.15,1.296,29667
05/04/2024 02:54,16.35,4.15,1.296,29667
05/04/2024 02:44,16.35,4.15,1.296,29667
05/04/2024 02:34,16.35,4.15,1.297,29667
05/04/2024 02:24,16.35,4.15,1.297,29667
05/04/2024 02:14,16.35,4.15,1.297,29667
05/04/2024 02:04,16.35,4.15,1.296,29667
05/04/2024 01:54,16.35,4.15,1.294,29667
05/04/2024 01:44,16.35,4.15,1.291,29667
05/04/2024 01:34,16.35,4.15,1.289,29667
05/04/2024 01:24,16.5,4.15,1.29,29667
05/04/2024 01:14,16.5,4.15,1.291,29667
05/04/2024 01:04,16.5,4.15,1.293,29667
05/04/2024 00:54,16.5,4.15,1.294,29667
05/04/2024 00:44,16.5,4.15,1.294,29667
05/04/2024 00:34,16.5,4.15,1.294,29667
05/04/2024 00:24,16.5,4.15,1.294,29667
05/04/2024 00:14,16.5,4.15,1.294,29667
05/04/2024 00:04,16.5,4.15,1.294,29667
04/04/2024 23:54,16.5,4.15,1.294,29667
04/04/2024 23:44,16.5,4.15,1.294,29667
04/04/2024 23:34,16.4,4.2,1.294,29606
04/04/2024 23:24,16.4,4.2,1.294,29606
04/04/2024 23:14,16.4,4.2,1.294,29606
04/04/2024 23:04,16.4,4.2,1.292,29606
04/04/2024 22:54,16.4,4.2,1.29,29606
04/04/2024 22:44,16.4,4.2,1.289,29606
04/04/2024 22:34,16.4,4.2,1.287,29606
04/04/2024 22:24,16.4,4.2,1.285,29606
04/04/2024 22:14,16.4,4.2,1.284,29606
04/04/2024 22:04,16.4,4.2,1.286,29606
04/04/2024 21:54,16.45,4.2,1.288,29606
04/04/2024 21:44,16.45,4.2,1.29,29606
04/04/2024 21:34,16.45,4.2,1.291,29606
04/04/2024 21:24,16.45,4.2,1.291,29606
04/04/2024 21:14,16.45,4.2,1.292,29606
04/04/2024 21:04,16.45,4.2,1.292,29606
04/04/2024 20:54,16.45,4.2,1.292,29606
04/04/2024 20:44,16.45,4.2,1.292,29606
04/04/2024 20:34,16.45,4.2,1.292,29606
04/04/2024 20:24,16.45,4.2,1.293,29606
04/04/2024 20:14,16.45,4.2,1.293,29606
04/04/2024 20:04,16.3,4.25,1.293,30146
04/04/2024 19:54,16.3,4.25,1.293,30146
04/04/2024 19:44,16.3,4.25,1.293,30146
04/04/2024 19:34,16.3,4.25,1.294,30146
04/04/2024 19:24,16.3,4.25,1.294,30146
04/04/2024 19:14,16.3,4.25,1.293,30146
04/04/2024 19:04,16.3,4.25,1.292,30146
04/04/2024 18:54,16.3,4.25,1.291,30146
04/04/2024 18:44,16.3,4.25,1.291,30146
04/04/2024 18:34,16.3,4.25,1.29,30146
04/04/2024 18:24,16.3,4.25,1.289,30146
04/04/2024 18:14,16.3,4.25,1.289,30146
04/04/2024 18:04,16.3,4.25,1.288,30146
04/04/2024 17:54,16.3,4.25,1.287,30146
04/04/2024 17:44,16.3,4.25,1.287,30146
04/04/2024 17:34,16.2,4.25,1.286,30146
04/04/2024 17:24,16.2,4.25,1.285,30146
04/04/2024 17:14,16.2,4.25,1.285,30146
04/04/2024 17:04,16.2,4.25,1.284,30146
04/04/2024 16:54,16.2,4.25,1.284,30146
04/04/2024 16:44,16.2,4.25,1.284,30146
04/04/2024 16:34,16.2,4.25,1.284,30146
04/04/2024 16:24,16.55,4.35,1.284,29975
04/04/2024 16:14,16.55,4.35,1.284,29975
04/04/2024 16:04,16.55,4.35,1.284,29975
04/04/2024 15:54,16.55,4.35,1.283,29975
04/04/2024 15:44,16.55,4.35,1.283,29975
04/04/2024 15:34,16.55,4.35,1.283,29975
04/04/2024 15:24,16.55,4.35,1.283,29975
04/04/2024 15:14,16.55,4.35,1.283,29975
04/04/2024 15:04,16.55,4.35,1.283,29975
