ts,Flow_421,P2O5_421,Flow_426,Den_426,Flow_449,Den_449,P2O5_449,SO4_449,Cl_449,Flow_int,PV_avg,SP
03/06/2024 16:36:18,83.8,8.700,32.557,1.398,21.670,1.284,15.900,3.948,36754,1008.092,55.103,55.000
03/06/2024 16:33:54,83.9,8.700,32.599,1.398,21.677,1.284,15.900,3.948,36754,1007.044,55.155,55.000
03/06/2024 16:31:30,84.3,8.700,32.642,1.398,21.711,1.284,15.900,3.948,36754,986.373,55.208,55.000
03/06/2024 16:29:06,83.9,8.700,32.684,1.398,21.691,1.284,15.900,3.948,36754,970.821,55.261,55.000
03/06/2024 16:26:42,84.0,8.700,32.726,1.398,21.735,1.284,15.900,3.948,36754,951.594,55.314,55.000
03/06/2024 16:24:18,84.0,8.700,32.768,1.398,21.780,1.284,15.900,3.948,37102,941.624,55.366,55.000
03/06/2024 16:21:54,83.9,8.500,32.810,1.398,21.726,1.284,15.300,4.049,37102,950.848,55.419,55.000
03/06/2024 16:19:30,83.9,8.500,32.852,1.398,21.750,1.284,15.300,4.049,37102,949.198,55.472,55.000
03/06/2024 16:17:06,84.0,8.500,32.894,1.397,21.754,1.285,15.300,4.049,37102,945.234,55.525,55.000
03/06/2024 16:14:42,84.0,8.500,32.937,1.397,21.747,1.285,15.300,4.049,37102,958.180,55.577,55.000
03/06/2024 16:12:18,84.1,8.500,32.979,1.397,21.809,1.279,15.300,4.049,37102,946.282,55.591,55.000
03/06/2024 16:09:54,83.9,8.500,33.021,1.397,21.750,1.216,15.300,4.049,37102,955.519,55.574,55.000
03/06/2024 16:07:30,83.8,8.500,33.063,1.397,21.740,1.154,15.300,4.049,37102,952.452,55.556,55.000
03/06/2024 16:05:06,84.0,8.500,33.105,1.397,21.733,1.091,15.300,4.049,37102,948.788,55.538,55.000
03/06/2024 16:02:42,84.0,8.500,33.147,1.397,21.755,1.029,15.300,4.049,37102,947.113,55.521,55.000
03/06/2024 16:00:18,84.0,8.500,33.190,1.397,22.870,1.210,15.300,4.049,37102,950.533,55.503,55.000
03/06/2024 15:57:54,84.2,8.500,33.232,1.397,21.746,1.284,15.300,4.049,37102,959.721,55.485,55.000
03/06/2024 15:55:30,83.9,8.500,33.274,1.397,21.685,1.284,15.300,4.049,37102,945.999,55.468,55.000
03/06/2024 15:53:06,83.9,8.500,33.316,1.397,21.680,1.284,15.300,4.049,37102,963.891,55.450,55.000
